"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","526","236","509","221","217","121","266","195","0","11","9","14","0","11","0","11","17","27","17","27","0","11","17","27","17","27","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","2456","625","2131","572","287","150","1724","569","0","11","58","95","0","11","0","11","62","62","0","11","62","62","325","375","243","365","49","72","0","11","0","11","0","11","33","41","0","11","0","11","0","11",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","2086","483","1817","420","1236","334","289","141","0","11","165","221","0","11","0","11","127","106","16","26","111","100","269","278","233","273","0","11","0","11","0","11","0","11","36","37","0","11","0","11","0","11",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","1790","547","1194","363","408","223","650","306","0","11","93","101","0","11","0","11","43","48","0","11","43","48","596","464","529","459","0","11","0","11","0","11","0","11","45","55","22","34","22","34","0","11",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","4701","734","3552","662","820","240","2400","676","0","11","251","230","0","11","0","11","81","109","0","11","81","109","1149","342","604","429","0","11","0","11","0","11","0","11","496","373","49","66","13","21","36","62",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","825","211","759","202","382","156","349","172","10","17","18","31","0","11","0","11","0","11","0","11","0","11","66","76","66","76","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","1290","312","877","201","505","187","313","149","0","11","29","30","0","11","0","11","30","47","0","11","30","47","413","290","233","266","16","25","9","14","0","11","15","24","110","127","30","48","30","48","0","11",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","1293","305","1057","245","474","158","503","200","0","11","17","34","0","11","0","11","63","56","10","17","53","54","236","181","145","156","0","11","0","11","0","11","0","11","57","67","34","54","34","54","0","11",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","882","286","637","215","507","183","121","81","0","11","3","6","0","11","0","11","6","12","0","11","6","12","245","203","99","69","38","60","0","11","0","11","0","11","108","165","0","11","0","11","0","11",
