"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","23032","13348",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","21548","5655",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","54176","14068",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","65854","44709",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","38026","4355",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","43542","28247",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","25802","9982",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","39808","15680",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","56544","2776",
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","44722","14524",
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","22623","7241",
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","48098","16990",
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","40000","13980",
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","50990","8969",
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","33708","16088",
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","34816","12738",
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","37945","13340",
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","25479","11559",
"1500000US170310105021","Block Group 1, Census Tract 105.02, Cook County, Illinois","33750","42557",
"1500000US170310105022","Block Group 2, Census Tract 105.02, Cook County, Illinois","29460","7364",
"1500000US170310105031","Block Group 1, Census Tract 105.03, Cook County, Illinois","16509","6362",
"1500000US170310105032","Block Group 2, Census Tract 105.03, Cook County, Illinois","26705","14647",
"1500000US170310106001","Block Group 1, Census Tract 106, Cook County, Illinois","45032","10996",
"1500000US170310106002","Block Group 2, Census Tract 106, Cook County, Illinois","75813","69241",
"1500000US170310106003","Block Group 3, Census Tract 106, Cook County, Illinois","44545","22846",
"1500000US170310106004","Block Group 4, Census Tract 106, Cook County, Illinois","32113","9178",
"1500000US170310107011","Block Group 1, Census Tract 107.01, Cook County, Illinois","54957","9557",
"1500000US170310107012","Block Group 2, Census Tract 107.01, Cook County, Illinois","55449","7973",
