"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","316","103","92","65","224","83",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","882","155","51","53","831","151",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","1043","180","256","99","787","178",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","608","143","207","77","401","139",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","1532","154","367","105","1165","162",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","433","102","176","70","257","90",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","503","94","88","46","415","103",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","582","112","138","70","444","105",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","463","122","239","107","224","124",
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","732","128","309","89","423","130",
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","778","170","192","105","586","156",
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","736","165","216","101","520","149",
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","732","116","204","69","528","111",
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","523","118","270","98","253","95",
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","601","106","173","62","428","108",
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","651","146","207","67","444","134",
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","937","165","214","112","723","155",
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","658","133","46","42","612","136",
"1500000US170310105021","Block Group 1, Census Tract 105.02, Cook County, Illinois","621","132","186","93","435","137",
"1500000US170310105022","Block Group 2, Census Tract 105.02, Cook County, Illinois","1045","136","163","72","882","137",
"1500000US170310105031","Block Group 1, Census Tract 105.03, Cook County, Illinois","814","109","131","61","683","109",
"1500000US170310105032","Block Group 2, Census Tract 105.03, Cook County, Illinois","336","86","99","61","237","94",
"1500000US170310106001","Block Group 1, Census Tract 106, Cook County, Illinois","1241","171","412","132","829","195",
"1500000US170310106002","Block Group 2, Census Tract 106, Cook County, Illinois","263","97","140","84","123","74",
"1500000US170310106003","Block Group 3, Census Tract 106, Cook County, Illinois","920","160","63","45","857","164",
"1500000US170310106004","Block Group 4, Census Tract 106, Cook County, Illinois","711","153","136","77","575","144",
"1500000US170310107011","Block Group 1, Census Tract 107.01, Cook County, Illinois","685","105","236","87","449","103",
"1500000US170310107012","Block Group 2, Census Tract 107.01, Cook County, Illinois","870","105","524","119","346","112",
"1500000US170310107021","Block Group 1, Census Tract 107.02, Cook County, Illinois","566","131","205","77","361","121",
