community_area,ca_name,louvain_community
1,Rogers Park,0
2,West Ridge,0
3,Uptown,0
4,Lincoln Square,0
5,North Center,0
6,Lake View,0
7,Lincoln Park,0
72,Beverly,0
8,Near North Side,0
74,Mount Greenwood,0
10,Norwood Park,0
9,Edison Park,0
76,O'Hare,0
14,Albany Park,0
11,Jefferson Park,0
12,Forest Glen,0
13,North Park,0
17,Dunning,0
77,Edgewater,0
15,Portage Park,0
16,Irving Park,0
21,Avondale,0
22,Logan Square,0
24,West Town,0
28,Near West Side,0
32,Loop,0
33,Near South Side,0
41,Hyde Park,0
67,West Englewood,1
68,Englewood,1
69,Greater Grand Crossing,1
71,Auburn Gresham,1
73,Washington Heights,1
25,Austin,1
26,West Garfield Park,1
27,East Garfield Park,1
29,North Lawndale,1
35,Douglas,1
36,Oakland,1
37,Fuller Park,1
38,Grand Boulevard,1
39,Kenwood,1
40,Washington Park,1
42,Woodlawn,1
43,South Shore,1
44,Chatham,1
45,Avalon Park,1
46,South Chicago,1
47,Burnside,1
48,Calumet Heights,1
49,Roseland,1
50,Pullman,1
51,South Deering,1
53,West Pullman,1
54,Riverdale,1
64,Clearing,2
65,West Lawn,2
66,Chicago Lawn,2
18,Montclare,2
19,Belmont Cragin,2
20,Hermosa,2
23,Humboldt Park,2
30,South Lawndale,2
31,Lower West Side,2
34,Armour Square,2
52,East Side,2
55,Hegewisch,2
56,Garfield Ridge,2
57,Archer Heights,2
58,Brighton Park,2
59,McKinley Park,2
60,Bridgeport,2
61,New City,2
62,West Elsdon,2
63,Gage Park,2
